nomComplet,lienWikidata,distinction,date,annee
Offenbach,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,1861-08-13,1861
Ari Folman,http://www.wikidata.org/entity/Q13452528,chevalier des Arts et des Lettres,2009-01-01,2009
Ari Folman,http://www.wikidata.org/entity/Q1377745,Prix du cinéma européen du meilleur film d'animation,2013-01-01,2013
Ari Folman,http://www.wikidata.org/entity/Q1604012,Ophir du cinéma,1991-01-01,1991
Jacques Leduc,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2008-01-01,2008
Paule Baillargeon,http://www.wikidata.org/entity/Q96336380,Prix Iris-Hommage,2012-01-01,2012
Paule Baillargeon,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2009-01-01,2009
Robert Morin,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2013-01-01,2013
Roger Baulu,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,1993-01-01,1993
Jean Marais,http://www.wikidata.org/entity/Q3557042,Victoires du cinéma français,1951-01-01,1951
Jean Marais,http://www.wikidata.org/entity/Q727282,César d'honneur,1993-01-01,1993
Michel Dumont,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2013-01-01,2013
Philippe Lioret,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2014-01-16,2014
André Gladu,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2018-01-01,2018
Anggun,http://www.wikidata.org/entity/Q13452528,chevalier des Arts et des Lettres,2004-01-01,2004
Abd al Malik,http://www.wikidata.org/entity/Q16682528,Victoire de l'artiste interprète masculin,2008-01-01,2008
Abd al Malik,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2017-03-23,2017
Angèle Dubeau,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2004-01-01,2004
Angèle Dubeau,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2018-01-01,2018
Angèle Dubeau,http://www.wikidata.org/entity/Q3404522,prix Denise-Pelletier,2019-01-01,2019
Fabienne Larouche,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2011-01-01,2011
Louise Lecavalier,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Louise Lecavalier,http://www.wikidata.org/entity/Q3404522,prix Denise-Pelletier,2017-01-01,2017
Jane Birkin,http://www.wikidata.org/entity/Q13422138,chevalier de l'ordre national du Mérite,2004-09-08,2004
Jane Birkin,http://www.wikidata.org/entity/Q13422140,officier de l'ordre national du Mérite,2015-05-15,2015
Jane Birkin,http://www.wikidata.org/entity/Q16682527,Victoire de l'artiste interprète féminine,1992-01-01,1992
Marc Laurendeau,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2015-01-01,2015
Julie Rocheleau,http://www.wikidata.org/entity/Q48746469,prix de la BD Fnac,2018-01-01,2018
Julie Rocheleau,http://www.wikidata.org/entity/Q3405651,prix des libraires du Québec,2018-01-01,2018
Jean Pierre Lefebvre,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1995-01-01,1995
Jean Pierre Lefebvre,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2013-01-01,2013
Marcel Carné,http://www.wikidata.org/entity/Q734335,prix Louis-Delluc,1939-01-01,1939
Marcel Carné,http://www.wikidata.org/entity/Q3703245,David Luchino Visconti,1991-01-01,1991
Marcel Carné,http://www.wikidata.org/entity/Q514445,Lifetime Achievement Award des Prix du cinéma européen,1995-01-01,1995
Marcel Carné,http://www.wikidata.org/entity/Q727282,César d'honneur,1979-01-01,1979
Marcel Carné,http://www.wikidata.org/entity/Q268670,Praemium Imperiale,1989-01-01,1989
Michèle Cournoyer,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2017-01-01,2017
Denys Arcand,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Denys Arcand,http://www.wikidata.org/entity/Q15464509,grand officier de l'Ordre national du Québec,2015-01-01,2015
